gene_name,twoD_1,twoD_2,twoD_3,twoD_4,dynamic_1,dynamic_2,dynamic_3,dynamic_4
RPL35A,7812,5207,7334,5501,10687,5614,7299,7252
LRCH3,455,443,233,661,887,774,813,713
LOC112448322,21,12,15,13,16,7,26,4
LOC112448324,6,9,6,4,5,6,5,3
FYTTD1,1327,1349,1173,1195,858,1089,1301,1284
LOC132345645,1,1,2,9,0,5,12,0
RUBCN,242,222,212,152,28,85,212,123
LOC112447332,9,0,15,15,3,0,1,0
MUC20,1068,735,2018,820,534,1514,1349,1282
MUC4,27,52,178,37,53,148,168,436
TNK2,40,31,91,37,90,42,18,88
LOC101906292,0,0,0,0,0,0,5,11
TFRC,10978,8419,5117,7521,9281,4183,6895,12683
ZDHHC19,28,13,56,25,25,32,24,78
SLC51A,2,0,14,0,0,0,0,0
PCYT1A,1150,1010,2232,821,1497,3150,1254,2399
DYNLT2B,110,46,151,76,106,33,131,148
TM4SF19,0,13,1,0,37,0,0,8
UBXN7,1352,1230,1374,1055,1891,1429,1277,1276
LOC104970883,1,0,0,1,0,1,0,0
LOC132345646,0,0,0,0,0,0,0,6
RNF168,500,489,575,355,500,375,408,651
SMCO1,0,0,0,0,0,0,0,0
TRNAE-CUC,0,0,0,0,0,0,0,0
WDR53,660,581,611,632,890,322,574,429
FBXO45,80,60,66,61,10,19,18,19
NRROS,0,0,0,0,0,21,0,0
CEP19,157,149,168,124,162,169,161,211
PIGX,540,412,396,366,465,485,463,518
PAK2,686,850,777,810,797,1460,721,1568
LOC104970886,3,4,0,5,2,3,1,1
SENP5,542,637,569,291,275,578,298,628
NCBP2,3205,2054,2313,2374,2611,1674,2264,2602
NCBP2AS2,1099,557,796,581,609,719,407,770
PIGZ,557,663,1145,947,1620,780,1354,630
MELTF,0,14,105,41,0,0,76,44
DLG1,1523,1588,1413,1503,1726,2983,1633,2202
LOC112448333,0,0,0,0,0,0,0,0
LOC112448377,0,0,0,0,0,0,0,0
LOC101904360,0,0,0,2,0,0,0,10
BDH1,65,130,76,73,141,30,106,61
LOC132346095,35,33,67,41,141,12,9,67
LOC132345648,0,0,0,0,0,0,0,0
LOC101904607,0,0,0,1,0,0,0,0
APOD,0,0,0,0,0,0,0,0
LOC132345649,0,0,0,0,0,0,0,0
PPP1R2,603,535,771,596,798,1212,619,753
ACAP2,360,294,471,213,376,502,308,526
XXYLT1,349,342,420,125,239,397,247,266
LOC104970891,0,0,0,0,0,0,0,0
LOC132346096,0,0,0,0,0,0,0,0
FAM43A,42,19,60,20,89,35,17,132
LSG1,1176,1006,1572,1028,1690,1308,1434,1931
LOC112447381,0,0,1,0,0,0,0,0
TMEM44,0,9,32,0,0,39,14,12
MIR2287,0,0,0,0,0,0,0,0
LOC104970894,0,0,0,0,0,0,0,0
ATP13A3,610,758,575,557,196,506,392,344
GP5,1,0,9,6,0,0,0,0
LRRC15,0,23,0,0,0,0,3,88
CPN2,0,0,0,0,0,0,0,0
LOC101905099,0,0,0,0,0,0,0,0
LOC112447401,0,0,0,0,0,0,0,0
HES1,691,1054,975,574,397,235,167,650
LOC104970902,0,0,0,21,0,5,0,0
OPA1,2961,3525,2367,2406,2421,2838,3650,3480
LOC112447410,0,0,2,0,0,2,1,0
LOC104970904,0,0,0,0,0,0,0,0
ATP13A4,0,0,0,0,0,13,0,26
MIR2285BK,0,0,0,0,0,0,0,0
ATP13A5,594,285,147,212,538,201,417,319
PLAAT1,114,62,247,50,6,77,129,243
LOC132345650,0,0,0,0,0,0,1,0
LOC104970906,0,1,0,5,8,0,2,2
MB21D2,132,151,212,128,203,65,334,148
FGF12,51,87,69,36,55,29,7,29
MIR10182,0,0,0,0,0,0,0,0
LOC112448255,0,0,0,0,0,0,0,0
CCDC50,1813,1656,2575,1726,1292,2162,1125,2667
UTS2B,0,0,0,0,0,0,1,0
OSTN,0,0,0,0,0,0,0,0
LOC101905532,0,0,0,0,0,0,0,0
LOC614619,0,0,0,0,0,0,1,1
LOC132346267,4,0,0,0,0,0,0,0
GMNC,0,0,0,0,0,0,0,0
LOC112447419,0,0,0,0,0,0,0,0
LOC782776,1065,61,2117,48,1950,2347,1826,1483
LOC104970908,7,17,15,16,33,18,20,8
IL1RAP,69,28,33,28,37,102,39,120
LOC112447424,0,0,0,0,0,0,0,0
TMEM207,0,0,0,0,0,0,0,0
CLDN16,0,0,0,0,0,0,0,0
LOC104970909,0,0,0,0,0,0,0,0
CLDN1,168,90,116,58,170,443,269,266
TRNAG-CCC_1,0,0,0,0,0,0,0,0
P3H2,71,315,80,208,266,6,109,96
TRNAC-GCA_4,0,0,0,0,0,0,0,0
LOC112447425,0,0,0,0,0,0,0,0
LOC132345651,0,0,0,0,0,0,0,0
LOC132345652,0,0,0,0,0,0,2,0
TRNAC-GCA_5,0,0,0,0,0,0,0,0
TP63,86,15,154,36,28,54,39,211
TPRG1,276,51,183,15,141,89,241,88
LOC132346268,0,0,0,0,0,0,0,0
TRNAS-GGA_3,0,0,0,0,0,0,0,0
LPP,2159,3319,2935,1594,1319,5476,2045,2955
MIR28,0,0,0,0,0,0,0,0
LOC132346251,0,0,0,0,2,0,0,0
LOC100847148,0,0,0,0,0,0,0,0
LOC101906248,0,0,0,0,0,0,0,0
LOC100847171,11,3,0,0,0,4,0,0
BCL6,23,9,8,7,9,31,6,61
RTP2,0,0,0,0,0,0,0,0
SST,0,0,0,0,0,0,0,0
RTP4,0,0,0,0,0,0,0,0
LOC101906451,0,0,0,0,0,0,0,0
MASP1,0,0,53,0,1,0,30,0
RTP1,0,0,0,0,0,2,0,0
LOC100847189,0,0,9,2,0,0,0,0
ST6GAL1,976,625,723,1031,748,504,1286,602
MIR2285K-3,0,0,0,0,0,0,0,0
LOC132345653,67,75,36,57,65,26,82,42
ADIPOQ,0,0,0,0,0,0,0,0
RFC4,2588,3022,2144,2279,3099,2187,3385,2531
