Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,Jan 33,0.314080114,0.541287004,0,0,2.729673673,3.161254697,TUBB4B
Signaling To ERKs R-HSA-187687,Jan 33,0.314080114,0.541287004,0,0,2.729673673,3.161254697,CRKL
Striated Muscle Contraction R-HSA-390522,Jan 33,0.314080114,0.541287004,0,0,2.729673673,3.161254697,VIM
Ion Channel Transport R-HSA-983712,3/175,0.319544982,0.549244425,0,0,1.526240656,1.741222682,TTYH3;TSC22D3;SGK1
EPHB-mediated Forward Signaling R-HSA-3928662,Jan 34,0.321878159,0.55138803,0,0,2.646822204,3.000390522,ACTG1
ABC-family Proteins Mediated Transport R-HSA-382556,2/102,0.322493925,0.55138803,0,0,1.748711111,1.978965618,ABCB6;PSMB8
RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,Jan 35,0.329587936,0.560559009,0,0,2.568844352,2.851191388,PHC2
Regulation Of TNFR1 Signaling R-HSA-5357905,Jan 35,0.329587936,0.560559009,0,0,2.568844352,2.851191388,OTULIN
Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825,2/104,0.330807902,0.561161049,0,0,1.714248366,1.896331419,SYT1;LDLR
Integration Of Energy Metabolism R-HSA-163685,2/105,0.334954429,0.564631434,0,0,1.697518878,1.856679589,MARCKS;TKT
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",9/660,0.335166655,0.564631434,0,0,1.212658014,1.325589693,RCC2;PCDH7;AMIGO2;FLNA;WDR6;MYH9;EVL;VIM;ACTG1
RHO GTPases Activate WASPs And WAVEs R-HSA-5663213,Jan 36,0.33721044,0.564631434,0,0,2.495322377,2.712535432,ACTG1
Regulation Of TP53 Degradation R-HSA-6804757,Jan 36,0.33721044,0.564631434,0,0,2.495322377,2.712535432,SGK1
Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,Jan 36,0.33721044,0.564631434,0,0,2.495322377,2.712535432,MYC
"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",2/106,0.339093481,0.564865232,0,0,1.681111111,1.81808713,PDGFRA;PIP5K1A
Resolution Of Sister Chromatid Cohesion R-HSA-2500257,2/106,0.339093481,0.564865232,0,0,1.681111111,1.81808713,RCC2;PMEPA1
G2/M Transition R-HSA-69275,3/182,0.341264207,0.565559068,0,0,1.466031524,1.576128003,TUBB4B;PHLDA1;PSMB8
Metabolism Of RNA R-HSA-8953854,9/666,0.344729825,0.565559068,0,0,1.201206485,1.279278042,HNRNPL;PTBP1;MYC;DNAJC5;IGF2;RPL13A;RPS2;PSMB8;RPS12
RHOV GTPase Cycle R-HSA-9013424,Jan 37,0.344746654,0.565559068,0,0,2.425884956,2.58343519,WDR6
Regulation Of TP53 Expression And Degradation R-HSA-6806003,Jan 37,0.344746654,0.565559068,0,0,2.425884956,2.58343519,SGK1
Early SARS-CoV-2 Infection Events R-HSA-9772572,Jan 37,0.344746654,0.565559068,0,0,2.425884956,2.58343519,SDC1
Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,Jan 37,0.344746654,0.565559068,0,0,2.425884956,2.58343519,SERPINE2
Mitotic G2-G2/M Phases R-HSA-453274,3/184,0.347463769,0.568577076,0,0,1.449684294,1.532453848,TUBB4B;PHLDA1;PSMB8
Signaling By B Cell Receptor (BCR) R-HSA-983705,2/109,0.351462194,0.571990008,0,0,1.633727934,1.708312727,DAPP1;PSMB8
HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,Jan 38,0.352197551,0.571990008,0,0,2.360200909,2.463018427,FKBP4
Interactions Of Vpr With Host Cellular Proteins R-HSA-176033,Jan 38,0.352197551,0.571990008,0,0,2.360200909,2.463018427,SLC25A6
Mitotic Prometaphase R-HSA-68877,3/186,0.353657888,0.572925779,0,0,1.433694379,1.490218139,RCC2;PMEPA1;TUBB4B
Ovarian Tumor Domain Proteases R-HSA-5689896,Jan 39,0.359564093,0.576726565,0,0,2.297973917,2.350512115,MAVS
RHOU GTPase Cycle R-HSA-9013420,Jan 39,0.359564093,0.576726565,0,0,2.297973917,2.350512115,WDR6
Elastic Fibre Formation R-HSA-1566948,Jan 39,0.359564093,0.576726565,0,0,2.297973917,2.350512115,ITGAV
Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313,Jan 39,0.359564093,0.576726565,0,0,2.297973917,2.350512115,UBA7
Reproduction R-HSA-1474165,2/113,0.367828125,0.587075432,0,0,1.574534535,1.574754183,PMEPA1;CD9
Negative Regulation Of PI3K/AKT Network R-HSA-199418,2/113,0.367828125,0.587075432,0,0,1.574534535,1.574754183,PDGFRA;PIP5K1A
RAF/MAP Kinase Cascade R-HSA-5673001,4/271,0.369946132,0.589005144,0,0,1.310424749,1.303083584,PDGFRA;NCAM1;PSMB8;DUSP7
Interleukin-1 Signaling R-HSA-9020702,2/114,0.371895033,0.590656817,0,0,1.560396825,1.543456585,USP18;PSMB8
Negative Regulation Of MAPK Pathway R-HSA-5675221,Jan 41,0.374047903,0.592623572,0,0,2.182853982,2.146556194,DUSP7
TCR Signaling R-HSA-202403,2/116,0.379997266,0.596609281,0,0,1.532865497,1.483187197,EVL;PSMB8
Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168,Jan 42,0.38116704,0.596609281,0,0,2.12950572,2.05394569,SCD
RND1 GTPase Cycle R-HSA-9696273,Jan 42,0.38116704,0.596609281,0,0,2.12950572,2.05394569,WDR6
RND3 GTPase Cycle R-HSA-9696264,Jan 42,0.38116704,0.596609281,0,0,2.12950572,2.05394569,WDR6
NS1 Mediated Effects On Host Pathways R-HSA-168276,Jan 42,0.38116704,0.596609281,0,0,2.12950572,2.05394569,EIF2AK2
"Cell Cycle, Mitotic R-HSA-69278",7/523,0.383193191,0.598335393,0,0,1.187447146,1.139018302,ESPL1;MYC;RCC2;PMEPA1;TUBB4B;PHLDA1;PSMB8
SARS-CoV-2-host Interactions R-HSA-9705683,3/196,0.384496599,0.598845697,0,0,1.358715766,1.29868816,MAVS;RPS2;RPS12
