Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Transport Of RCbl Within Body R-HSA-9758890,01. Aug,0.087288071,0.362581217,0,0,12.494311,30.46789554,TCN2
Ligand-receptor Interactions R-HSA-5632681,01. Aug,0.087288071,0.362581217,0,0,12.494311,30.46789554,BOC
Collagen Chain Trimerization R-HSA-8948216,Feb 44,0.088976429,0.367240292,0,0,4.175873016,10.10303948,COL1A1;COL4A1
Signaling By ROBO Receptors R-HSA-376176,5/209,0.090205269,0.369955785,0,0,2.160506094,5.197459172,RPL13A;EVL;RPS2;PSMB8;RPS12
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,Mar 96,0.096012664,0.378911126,0,0,2.834101382,6.641079431,FOS;USP18;DUSP7
Cellular Response To Starvation R-HSA-9711097,4/153,0.096868515,0.378911126,0,0,2.362416107,5.514825907,RPL13A;RPS2;RPS12;ATF4
OAS Antiviral Response R-HSA-8983711,01. Sep,0.097651479,0.378911126,0,0,10.93196903,25.43159139,FLNA
ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,01. Sep,0.097651479,0.378911126,0,0,10.93196903,25.43159139,ATF4
Beta-oxidation Of pristanoyl-CoA R-HSA-389887,01. Sep,0.097651479,0.378911126,0,0,10.93196903,25.43159139,CRAT
CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834,01. Sep,0.097651479,0.378911126,0,0,10.93196903,25.43159139,MYH9
GP1b-IX-V Activation Signaling R-HSA-430116,01. Sep,0.097651479,0.378911126,0,0,10.93196903,25.43159139,FLNA
MET Receptor Recycling R-HSA-8875656,01. Sep,0.097651479,0.378911126,0,0,10.93196903,25.43159139,CRKL
NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558,01. Sep,0.097651479,0.378911126,0,0,10.93196903,25.43159139,SCD
Potential Therapeutics For SARS R-HSA-9679191,Mar 97,0.098289347,0.379116052,0,0,2.803808891,6.504386984,ZBP1;MTA1;FKBP4
SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678,Feb 47,0.099494217,0.381492618,0,0,3.896888889,8.992678088,RPS2;RPS12
Visual Phototransduction R-HSA-2187338,Mar 98,0.100587798,0.383417017,0,0,2.774154135,6.371467285,SDC1;LDLR;LRP12
Stimuli-sensing Channels R-HSA-2672351,3/100,0.105248834,0.390601832,0,0,2.71667894,6.11640672,TTYH3;TSC22D3;SGK1
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,3/101,0.107610831,0.390601832,0,0,2.688821064,5.994011263,FOS;USP18;DUSP7
Acetylcholine Regulates Insulin Secretion R-HSA-399997,01. Oct,0.107897728,0.390601832,0,0,9.716814159,21.63518111,MARCKS
Activation Of AP-1 Family Of Transcription Factors R-HSA-450341,01. Oct,0.107897728,0.390601832,0,0,9.716814159,21.63518111,FOS
Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889,01. Oct,0.107897728,0.390601832,0,0,9.716814159,21.63518111,MAGED1
Receptor Mediated Mitophagy R-HSA-8934903,01. Oct,0.107897728,0.390601832,0,0,9.716814159,21.63518111,ULK1
Cohesin Loading Onto Chromatin R-HSA-2470946,01. Oct,0.107897728,0.390601832,0,0,9.716814159,21.63518111,PMEPA1
Glycoprotein Hormones R-HSA-209822,01. Oct,0.107897728,0.390601832,0,0,9.716814159,21.63518111,INHBA
Neurotoxicity Of Clostridium Toxins R-HSA-168799,01. Oct,0.107897728,0.390601832,0,0,9.716814159,21.63518111,SYT1
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,3/102,0.10999342,0.395022365,0,0,2.661525974,5.874878721,FOS;USP18;DUSP7
Neurotransmitter Release Cycle R-HSA-112310,Feb 50,0.110338037,0.395022365,0,0,3.652777778,8.051476739,SYT1;DNAJC5
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,3/103,0.112396303,0.397993465,0,0,2.634776786,5.758895479,FOS;USP18;DUSP7
Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,3/103,0.112396303,0.397993465,0,0,2.634776786,5.758895479,FOS;USP18;DUSP7
Antigen processing-Cross Presentation R-HSA-1236975,3/104,0.11481918,0.400849426,0,0,2.608557284,5.645952878,ITGAV;PSMB8;TAPBP
Apoptotic Execution Phase R-HSA-75153,Feb 52,0.117731691,0.400849426,0,0,3.506311111,7.501216323,GSN;VIM
Establishment Of Sister Chromatid Cohesion R-HSA-2468052,01. Nov,0.118028138,0.400849426,0,0,8.744690265,18.68593596,PMEPA1
Signaling By PDGFRA Extracellular Domain Mutants R-HSA-9673770,01. Nov,0.118028138,0.400849426,0,0,8.744690265,18.68593596,PDGFRA
Interleukin-27 Signaling R-HSA-9020956,01. Nov,0.118028138,0.400849426,0,0,8.744690265,18.68593596,IL27RA
MET Activates RAP1 And RAC1 R-HSA-8875555,01. Nov,0.118028138,0.400849426,0,0,8.744690265,18.68593596,CRKL
Cellular Senescence R-HSA-2559583,4/165,0.118793476,0.400849426,0,0,2.184998468,4.654852543,PHC2;ID1;IGFBP7;FOS
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,3/106,0.119723716,0.400849426,0,0,2.557645631,5.42877819,FOS;USP18;DUSP7
Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361,Feb 53,0.121474254,0.400849426,0,0,3.437385621,7.246190875,GSN;MYH9
O-linked Glycosylation R-HSA-5173105,3/107,0.122204773,0.400849426,0,0,2.532924107,5.324351293,ADAMTS1;THBS2;THBS1
MyD88-independent TLR4 Cascade R-HSA-166166,3/107,0.122204773,0.400849426,0,0,2.532924107,5.324351293,FOS;USP18;DUSP7
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,4/167,0.122641457,0.400849426,0,0,2.157968582,4.528475838,RPL13A;RPS2;PSMB8;RPS12
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,4/168,0.124585327,0.400849426,0,0,2.144700864,4.466906695,DDX17;PHC2;MTA1;PMEPA1
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,3/108,0.124704618,0.400849426,0,0,2.508673469,5.222574972,RPL13A;RPS2;RPS12
Mitotic Anaphase R-HSA-68882,5/232,0.125026719,0.400849426,0,0,1.939318173,4.032284278,ESPL1;RCC2;PMEPA1;TUBB4B;PSMB8
Mitotic Metaphase And Anaphase R-HSA-2555396,5/233,0.126665393,0.400849426,0,0,1.930713608,3.989252755,ESPL1;RCC2;PMEPA1;TUBB4B;PSMB8
PECAM1 Interactions R-HSA-210990,01. Dec,0.128044012,0.400849426,0,0,7.949316171,16.33887526,ITGAV
Peptide Hormone Biosynthesis R-HSA-209952,01. Dec,0.128044012,0.400849426,0,0,7.949316171,16.33887526,INHBA
Frs2-mediated Activation R-HSA-170968,01. Dec,0.128044012,0.400849426,0,0,7.949316171,16.33887526,CRKL
Transport Of Nucleosides And Free Purine And Pyrimidine Bases Across Plasma Membrane R-HSA-83936,01. Dec,0.128044012,0.400849426,0,0,7.949316171,16.33887526,SLC25A6
Interleukin-35 Signaling R-HSA-8984722,01. Dec,0.128044012,0.400849426,0,0,7.949316171,16.33887526,IL27RA
Maturation Of Nucleoprotein R-HSA-9683610,01. Dec,0.128044012,0.400849426,0,0,7.949316171,16.33887526,PARP14
Separation Of Sister Chromatids R-HSA-2467813,4/170,0.128512205,0.400849426,0,0,2.118644984,4.346890431,ESPL1;RCC2;PMEPA1;PSMB8
Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829,Feb 55,0.129045082,0.400849426,0,0,3.307337526,6.772082697,MBTPS1;SCD
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,3/112,0.134885815,0.400849426,0,0,2.416120577,4.840278797,FOS;USP18;DUSP7
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,3/112,0.134885815,0.400849426,0,0,2.416120577,4.840278797,RPL13A;RPS2;RPS12
Intracellular Signaling By Second Messengers R-HSA-9006925,6/306,0.136154607,0.400849426,0,0,1.762262443,3.513888257,EGR1;PDGFRA;PHC2;MTA1;PIP5K1A;PSMB8
SUMOylation R-HSA-2990846,4/174,0.136518981,0.400849426,0,0,2.068372461,4.118732746,DDX17;PHC2;MTA1;PMEPA1
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,Feb 57,0.136722748,0.400849426,0,0,3.186747475,6.34099058,COL1A1;COL4A1
NCAM Signaling For Neurite Out-Growth R-HSA-375165,Feb 57,0.136722748,0.400849426,0,0,3.186747475,6.34099058,COL4A1;NCAM1
Purine Salvage R-HSA-74217,Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,AMPD2
"Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253",Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,SDC1
Defects In Cobalamin (B12) Metabolism R-HSA-3296469,Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,TCN2
ERKs Are Inactivated R-HSA-202670,Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,DUSP7
Erythropoietin Activates RAS R-HSA-9027284,Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,CRKL
"Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511",Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,GATA4
Activation Of Arylsulfatases R-HSA-1663150,Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,ARSJ
Transcriptional Regulation Of Testis Differentiation R-HSA-9690406,Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,GATA4
Mitotic Telophase/Cytokinesis R-HSA-68884,Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,PMEPA1
NF-kB Activation Thru FADD/RIP-1 Pathway Mediated By Caspase-8 And -10 R-HSA-933543,Jan 13,0.137946639,0.400849426,0,0,7.286504425,14.43375168,MAVS
Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,7/378,0.139938305,0.404821524,0,0,1.663979417,3.272304771,SPSB1;UBA7;ASB9;UBE2O;ITGAV;PSMB8;TAPBP
Apoptosis R-HSA-109581,4/178,0.144722897,0.412775434,0,0,2.020411319,3.905322581,GSN;MAGED1;VIM;PSMB8
Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,4/179,0.146803692,0.412775434,0,0,2.008763613,3.854132416,DNAJC5;RPL13A;RPS2;RPS12
Pentose Phosphate Pathway R-HSA-71336,Jan 14,0.147737294,0.412775434,0,0,6.725663717,12.8616187,TKT
Physiological Factors R-HSA-5578768,Jan 14,0.147737294,0.412775434,0,0,6.725663717,12.8616187,GATA4
Prolonged ERK Activation Events R-HSA-169893,Jan 14,0.147737294,0.412775434,0,0,6.725663717,12.8616187,CRKL
Repression Of WNT Target Genes R-HSA-4641265,Jan 14,0.147737294,0.412775434,0,0,6.725663717,12.8616187,MYC
Glycogen Breakdown (Glycogenolysis) R-HSA-70221,Jan 14,0.147737294,0.412775434,0,0,6.725663717,12.8616187,PYGL
FCGR3A-mediated Phagocytosis R-HSA-9664422,Feb 60,0.148420796,0.412775434,0,0,3.021455939,5.764043038,MYH9;ACTG1
Transcriptional Regulation By MECP2 R-HSA-8986944,Feb 60,0.148420796,0.412775434,0,0,3.021455939,5.764043038,GRIA2;SGK1
Cellular Response To Chemical Stress R-HSA-9711123,4/182,0.153115487,0.421079166,0,0,1.974605734,3.70547172,MYC;TKT;PSMB8;ATF4
RHO GTPases Activate Formins R-HSA-5663220,3/119,0.153355992,0.421079166,0,0,2.269512007,4.255319835,RCC2;EVL;ACTG1
Transcriptional Regulation By RUNX2 R-HSA-8878166,3/119,0.153355992,0.421079166,0,0,2.269512007,4.255319835,COL1A1;RUNX2;PSMB8
Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,Feb 62,0.156328556,0.421513925,0,0,2.920444444,5.419747238,MYH9;ACTG1
MAP Kinase Activation R-HSA-450294,Feb 62,0.156328556,0.421513925,0,0,2.920444444,5.419747238,FOS;DUSP7
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975,Jan 15,0.157417238,0.421513925,0,0,6.24494311,11.54599701,ZBP1
Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895,Jan 15,0.157417238,0.421513925,0,0,6.24494311,11.54599701,ATF4
EPHA-mediated Growth Cone Collapse R-HSA-3928663,Jan 15,0.157417238,0.421513925,0,0,6.24494311,11.54599701,MYH9
TRAF3-dependent IRF Activation Pathway R-HSA-918233,Jan 15,0.157417238,0.421513925,0,0,6.24494311,11.54599701,MAVS
Signaling By MET R-HSA-6806834,Feb 63,0.160312196,0.427499188,0,0,2.872422587,5.258349113,LAMA1;CRKL
Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,3/122,0.161504917,0.428914697,0,0,2.211959784,4.032888634,PDXK;TCN2;PARP14
CRMPs In Sema3A Signaling R-HSA-399956,Jan 16,0.166987716,0.438074686,0,0,5.828318584,10.43172875,DPYSL2
Cell-extracellular Matrix Interactions R-HSA-446353,Jan 16,0.166987716,0.438074686,0,0,5.828318584,10.43172875,FLNA
SUMOylation Of DNA Methylation Proteins R-HSA-4655427,Jan 16,0.166987716,0.438074686,0,0,5.828318584,10.43172875,PHC2
rRNA Processing In Nucleus And Cytosol R-HSA-8868773,4/189,0.168230351,0.438074686,0,0,1.899212217,3.385195933,DNAJC5;RPL13A;RPS2;RPS12
Mitochondrial Protein Import R-HSA-1268020,Feb 65,0.168334254,0.438074686,0,0,2.780952381,4.95511115,ACO2;SLC25A6
Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,Feb 67,0.176423253,0.44839049,0,0,2.695111111,4.675665586,DNAJC5;MYH9
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,Jan 17,0.176449961,0.44839049,0,0,5.463772124,9.478103563,SYT1
RIP-mediated NFkB Activation Via ZBP1 R-HSA-1810476,Jan 17,0.176449961,0.44839049,0,0,5.463772124,9.478103563,ZBP1
FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828,Jan 17,0.176449961,0.44839049,0,0,5.463772124,9.478103563,BTG1
Trafficking Of GluR2-containing AMPA Receptors R-HSA-416993,Jan 17,0.176449961,0.44839049,0,0,5.463772124,9.478103563,GRIA2
MET Activates PTK2 Signaling R-HSA-8874081,Jan 17,0.176449961,0.44839049,0,0,5.463772124,9.478103563,LAMA1
Glycolysis R-HSA-70171,Feb 69,0.184572127,0.457801388,0,0,2.614394693,4.417581817,PKM;PFKP
Interleukin-17 Signaling R-HSA-448424,Feb 69,0.184572127,0.457801388,0,0,2.614394693,4.417581817,FOS;DUSP7
Activation Of SMO R-HSA-5635838,Jan 18,0.185805193,0.457801388,0,0,5.142113483,8.65446754,BOC
Regulation Of NF-kappa B Signaling R-HSA-9758274,Jan 18,0.185805193,0.457801388,0,0,5.142113483,8.65446754,USP18
Regulation Of Signaling By CBL R-HSA-912631,Jan 18,0.185805193,0.457801388,0,0,5.142113483,8.65446754,CRKL
Serotonin Neurotransmitter Release Cycle R-HSA-181429,Jan 18,0.185805193,0.457801388,0,0,5.142113483,8.65446754,SYT1
MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699,Jan 18,0.185805193,0.457801388,0,0,5.142113483,8.65446754,GRIA2
Norepinephrine Neurotransmitter Release Cycle R-HSA-181430,Jan 18,0.185805193,0.457801388,0,0,5.142113483,8.65446754,SYT1
