"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP"
"NME7",0.46983784960877,2.33058549607726,1.12618054648321,0.285541565096359,0.868465419648196,-4.77951765079497,0.544330664377558
"MST1",-0.466557980594415,0.597115969255898,-0.703056247403707,0.497540901152314,0.916727218219011,-4.77980471099941,0.303171211572307
"LOC523503",-0.382282555786676,-0.23517801818545,-0.25129851871547,0.806505933083001,0.975041426245738,-4.7798502050991,0.0933924333640087
"ANLN",0.370051223574528,7.55367534033402,1.64761387983779,0.129439243118461,0.826251193178348,-4.7803798929727,0.887934035212927
"MCUB",-0.532452385973105,0.0367372343778697,-0.454444572100013,0.658897681564815,0.952049422931247,-4.78040447487433,0.181182020583256
"SLC35D2",0.242685693540861,-0.314284427568305,0.102436477409988,0.920369189610406,0.991524270634371,-4.78042687421167,0.0360379282543199
"ZIM3",1.02526075277897,0.658751961790908,0.70696871533105,0.495205838712209,0.915506764076058,-4.78054049502541,0.305214243419391
"CCNT2",0.344781269757472,5.57615705900904,1.54024213887436,0.153518249166404,0.838236892545516,-4.78080963499294,0.813839991253991
"FSCN1",-0.353475269438028,-0.127742636863077,-0.348621987074947,0.734365825402696,0.965069843411987,-4.78091011481952,0.134087541752846
"KCNJ12",-0.619569755350544,-0.0368887536840464,-0.385212969745269,0.707883444998276,0.960206862740971,-4.78121027192606,0.150038244232766
"EPHB3",-0.505844527768257,0.379936538084251,-0.613818161030862,0.552596256683191,0.922214467396042,-4.78124964940534,0.257592061343757
"LOC112445390",-0.162787579514465,-0.307102582225315,-0.143272961121586,0.888827658279877,0.985864355187094,-4.78155348494573,0.0511824396078762
"SRPK2",-0.39930753478537,4.73411266139119,-1.4542622064092,0.175538286787341,0.842216237472238,-4.78179670064283,0.755628144571401
"CCNG1",0.358099696834609,8.47470232198729,1.66410089712303,0.126055324043126,0.822648277532486,-4.78183995232903,0.8994388068402
"P3H3",0.295254202044209,-0.16425011440478,0.302272092081648,0.76843613282428,0.972538351985326,-4.78190493805739,0.114392222262635
"MYLIP",0.5889440671559,3.20346614506069,1.25366699242211,0.237560128747961,0.849619565479176,-4.78215740123449,0.624226448024946
"PPP2R5E",-0.427771595833305,4.69190263516698,-1.44875041430811,0.177038290756596,0.842216237472238,-4.78220174555422,0.751932792023422
"SHROOM2",0.541921478333,3.70324618560361,1.32025922999876,0.215219976807678,0.849619565479176,-4.78223936644751,0.6671174197404
"METAP1D",-0.492833448532797,3.28404915522166,-1.26804186508064,0.23258392591266,0.849619565479176,-4.78227238675255,0.633420303058368
"PYCR1",-0.548512582893602,0.450418009534023,-0.638278096022644,0.537168728442624,0.921058041937386,-4.78244917819743,0.269889277946948
"RPS6KL1",-0.381965230983552,2.79293346921112,-1.1995666288116,0.257066166747596,0.856305414220333,-4.7824677295465,0.589955078400763
"LOC107132793",-0.442062247352485,0.272470235037301,-0.564180924520784,0.584657338705943,0.932679345706922,-4.78248843715846,0.233098594619263
"LOC529686",-0.956301153637285,6.3727888246394,-1.59664214928649,0.140418444457654,0.836352452196945,-4.78250980545188,0.852575842348198
"C10H15orf62",0.448369978977778,0.684339177971187,0.720074375987338,0.487433273395507,0.912430472734936,-4.78256433947881,0.312084828128644
"EFCAB6",-0.00335249184457209,-0.330889872764532,-0.00294956409795592,0.997702710551355,0.999710489183138,-4.78275042326864,0.00099884789203642
"OR4S1",0.564773577371895,0.351233409469132,0.586115211459487,0.570367288184975,0.92927135887204,-4.78275999112619,0.243845390183083
"LOC100847738",0.447102064306806,0.228160002245293,0.538788781651258,0.601436377745324,0.936785945612359,-4.78288358469941,0.220810307236067
"RNF39",1.10453867562128,2.59256525620166,1.14257495207657,0.278975151561963,0.863611871253781,-4.7829638515777,0.554434477802074
"SLC6A19",-0.871206647932399,0.268536804285907,-0.544580305434773,0.597587381014075,0.935948056204524,-4.78297964051318,0.22359858189851
"ZC4H2",0.557923573678618,2.10254807617188,1.0770387192496,0.305943233299146,0.871814464090509,-4.78311649352862,0.514359147871288
