"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP","Significance"
"GABRR1",-0.327040500000001,1.9355532,-0.949745328199887,0.390699472751605,0.470935482583093,-6.50547866335739,0.408157174854619,"Not Significant"
"KLHL29",-0.327040500000001,1.9355532,-0.949745328199887,0.390699472751605,0.470935482583093,-6.50547866335739,0.408157174854619,"Not Significant"
"LDLRAD3",-0.327040500000001,1.9355532,-0.949745328199887,0.390699472751605,0.470935482583093,-6.50547866335739,0.408157174854619,"Not Significant"
"SLIT2",-0.327040500000001,1.9355532,-0.949745328199887,0.390699472751605,0.470935482583093,-6.50547866335739,0.408157174854619,"Not Significant"
"TPBG",-0.327040500000001,1.9355532,-0.949745328199887,0.390699472751605,0.470935482583093,-6.50547866335739,0.408157174854619,"Not Significant"
"CAPS2",-0.327040500000001,1.9355532,-0.949745328199887,0.390699472751605,0.470935482583093,-6.50547866335739,0.408157174854619,"Not Significant"
"RCOR2",-0.829456833333333,5.0159754,-0.949715873995851,0.390712921317606,0.470935482583093,-6.50550687071941,0.408142225928678,"Not Significant"
"EIF4B",-0.8176645,6.6532528,-0.949584374515594,0.390772967655019,0.470964630253828,-6.505632796569,0.408075486929507,"Not Significant"
"UBP1",0.713399666666667,3.6630668,0.948488494719067,0.391273673986599,0.471524812956963,-6.50668177875535,0.407519371692912,"Not Significant"
"OLAH",0.283432833333334,2.3018372,0.947858829899489,0.391561607127791,0.471786687106248,-6.50728413479383,0.407199897639985,"Not Significant"
"ACSL4",1.04006533333333,4.5473322,0.947856153287267,0.391562831462915,0.471786687106248,-6.5072866947552,0.4071985396898,"Not Significant"
"INSR",0.3288295,2.3290752,0.946375263633947,0.392240704890108,0.472560085928156,-6.50870231059528,0.406447339296833,"Not Significant"
"ABHD13",-0.878106166666666,2.7459228,-0.945430499005763,0.392673674835219,0.473036880251545,-6.50960466562229,0.40596821321144,"Not Significant"
"AKT2",0.334751166666666,2.3326282,0.945354538213579,0.392708503541147,0.473036880251545,-6.50967719063485,0.405929694601716,"Not Significant"
"ZNF184",-0.799301000000001,7.7022714,-0.944862908661415,0.392933981788523,0.473265069141235,-6.51014648978418,0.405680410829157,"Not Significant"
"BARHL2",0.750942833333333,3.7593282,0.944081151036183,0.393292742827477,0.473653732466107,-6.51089240520451,0.405284067266987,"Not Significant"
"IFIT2",-0.820968333333333,2.616425,-0.943717686665505,0.393459634452089,0.473811271859224,-6.5112390656912,0.405099815868897,"Not Significant"
"YJU2",0.792271500000001,3.9699844,0.94350827228242,0.393555817602948,0.473883641735001,-6.51143875803156,0.404993663412121,"Not Significant"
"INO80D",0.891450166666668,6.0659456,0.943088637642448,0.393748612413064,0.474072318530151,-6.51183882250295,0.404780963671959,"Not Significant"
"LZTS3",-0.780088,2.6409532,-0.9412255042409,0.394605541691013,0.475060503619947,-6.51361363628384,0.403836819973519,"Not Significant"
"ZNF555",-0.805841666666667,2.923851,-0.941095401490189,0.394665438499723,0.475089058426837,-6.51373748438058,0.403770903819982,"Not Significant"
"FAM102A",0.574759666666668,3.1816808,0.940976170733884,0.394720336628847,0.475111591256647,-6.51385097313586,0.403710497475366,"Not Significant"
"MDN1",-0.449574666666665,6.7495632,-0.940858535983803,0.394774506064821,0.475133242933115,-6.51396293335809,0.403650901171766,"Not Significant"
"EXOC3L1",-1.02217183333333,2.9082744,-0.940774435219131,0.394813237244322,0.475136311537064,-6.51404297150782,0.403608294792193,"Not Significant"
"RNF44",-0.651463166666666,2.6926166,-0.940686229018096,0.39485386247608,0.475141658758901,-6.51412691165225,0.403563609344362,"Not Significant"
"RBP1",0.544161833333333,3.2841516,0.940411925831509,0.39498022061612,0.475250160997882,-6.51438791475866,0.403424651949117,"Not Significant"
"SNX6",0.442460166666668,6.2625496,0.940043104461981,0.395150171180932,0.475270961905268,-6.51473877318344,0.403237825586282,"Not Significant"
"N6AMT1",-0.762626333333334,4.0379062,-0.940027202032778,0.395157500274226,0.475270961905268,-6.51475389904286,0.40322977053408,"Not Significant"
"ZC3HAV1",-0.298611,4.6749314,-0.939942943120928,0.395196335292578,0.475270961905268,-6.514834040458,0.403187091335397,"Not Significant"
"ARAP1",-0.406804166666667,1.887695,-0.939746164953242,0.395287042790842,0.475270961905268,-6.51502118397006,0.403087421267112,"Not Significant"
"CAMK2B",-0.406804166666667,1.887695,-0.939746164953242,0.395287042790842,0.475270961905268,-6.51502118397006,0.403087421267112,"Not Significant"
"COL1A1",-0.406804166666667,1.887695,-0.939746164953242,0.395287042790842,0.475270961905268,-6.51502118397006,0.403087421267112,"Not Significant"
"DENND2D",-0.406804166666667,1.887695,-0.939746164953242,0.395287042790842,0.475270961905268,-6.51502118397006,0.403087421267112,"Not Significant"
"ITIH4",-0.406804166666667,1.887695,-0.939746164953242,0.395287042790842,0.475270961905268,-6.51502118397006,0.403087421267112,"Not Significant"
"CEACAM1",-0.589004000000001,2.4148796,-0.938409645678998,0.395903582658523,0.475968675956397,-6.5162915726915,0.402410568159927,"Not Significant"
"NR2F2",-0.654475999999998,4.5252404,-0.938122213771028,0.396036279098552,0.476084622585334,-6.51656462484817,0.402265028492094,"Not Significant"
"AFF4",-0.451405333333334,4.1170128,-0.936862341130351,0.396618346336364,0.476740697857129,-6.51776080866862,0.40162720054836,"Not Significant"
"ELK4",1.40042133333333,5.3366988,0.936414816084698,0.396825274303214,0.476945771750851,-6.5181854518293,0.401400674872549,"Not Significant"
"TCTN3",0.6353235,4.3934966,0.935643142427284,0.397182291492111,0.477331184394107,-6.5189173510865,0.401010122912564,"Not Significant"
"FAM133A",0.818012833333333,4.0384492,0.935318783471986,0.397332435924317,0.477467930870986,-6.5192248710382,0.40084598020527,"Not Significant"
"TSNARE1",0.958319833333334,2.7067694,0.935084395967741,0.397440961958954,0.47755464474746,-6.51944704594484,0.40072737467971,"Not Significant"
"TXN2",0.874009833333333,2.6561834,0.934937782779925,0.397508859132945,0.477592528649025,-6.51958600099565,0.400653187939137,"Not Significant"
"SLF2",0.808131666666666,6.699902,0.9325776100317,0.398603176216966,0.478863499229824,-6.52182088305026,0.399459245003303,"Not Significant"
"PRDM2",-0.815067333333333,8.2605646,-0.932495710867861,0.398641193899673,0.478865363912413,-6.52189836653371,0.399417825156528,"Not Significant"
"CERCAM",-1.07147116666667,2.9299318,-0.931561682633082,0.399074981254766,0.479342600735167,-6.52278171242578,0.398945498083131,"Not Significant"
"SUN2",0.510951166666664,5.9425672,0.930830043871895,0.399415043864873,0.479707184564982,-6.52347323552044,0.398575581567322,"Not Significant"
"ADAMTS9",0.542204666666668,3.1621478,0.927272501469158,0.401071959919731,0.481625323862996,-6.52683050585676,0.396777699718204,"Not Significant"
"KCNA3",0.863995500000001,4.0912118,0.927243519206316,0.401085481401594,0.481625323862996,-6.52685782099078,0.396763058440424,"Not Significant"
"FLT4",0.282739166666667,2.301421,0.926180992199249,0.401581453782301,0.482176799037138,-6.52785883128343,0.396226352401869,"Not Significant"
